1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 5000000034EF0341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 60 second(s)
Mission Start Time:  Fri Feb 27 08:51:01 CET 2015
Mission Sample Count:  234
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Feb 27 08:51:01 CET 2015
Total Mission Samples:  234
Total Device Samples:  13138
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
27/02/15 8:51:01,C,18,924
27/02/15 8:52:01,C,18,862
27/02/15 8:53:01,C,18,799
27/02/15 8:54:01,C,18,799
27/02/15 8:55:01,C,18,737
27/02/15 8:56:01,C,18,737
27/02/15 8:57:01,C,18,674
27/02/15 8:58:01,C,18,612
27/02/15 8:59:01,C,18,549
27/02/15 9:00:01,C,18,549
27/02/15 9:01:01,C,18,612
27/02/15 9:02:01,C,18,862
27/02/15 9:03:01,C,24,928
27/02/15 9:04:01,C,28,177
27/02/15 9:05:01,C,29,988
27/02/15 9:06:01,C,31,111
27/02/15 9:07:01,C,31,798
27/02/15 9:08:01,C,32,173
27/02/15 9:09:01,C,32,297
27/02/15 9:10:01,C,32,36
27/02/15 9:11:01,C,32,485
27/02/15 9:12:01,C,32,609
27/02/15 9:13:01,C,32,672
27/02/15 9:14:01,C,32,672
27/02/15 9:15:01,C,32,734
27/02/15 9:16:01,C,32,734
27/02/15 9:17:01,C,32,672
27/02/15 9:18:01,C,32,734
27/02/15 9:19:01,C,32,859
27/02/15 9:20:01,C,32,921
27/02/15 9:21:01,C,32,984
27/02/15 9:22:01,C,33,046
27/02/15 9:23:01,C,33,109
27/02/15 9:24:01,C,33,046
27/02/15 9:25:01,C,32,984
27/02/15 9:26:01,C,32,797
27/02/15 9:27:01,C,32,734
27/02/15 9:28:01,C,32,921
27/02/15 9:29:01,C,32,984
27/02/15 9:30:01,C,33,046
27/02/15 9:31:01,C,32,672
27/02/15 9:32:01,C,32,422
27/02/15 9:33:01,C,32,235
27/02/15 9:34:01,C,32,235
27/02/15 9:35:01,C,32,11
27/02/15 9:36:01,C,32,048
27/02/15 9:37:01,C,31,985
27/02/15 9:38:01,C,31,985
27/02/15 9:39:01,C,31,985
27/02/15 9:40:01,C,31,923
27/02/15 9:41:01,C,31,985
27/02/15 9:42:01,C,31,985
27/02/15 9:43:01,C,32,048
27/02/15 9:44:01,C,32,11
27/02/15 9:45:01,C,32,048
27/02/15 9:46:01,C,32,048
27/02/15 9:47:01,C,31,861
27/02/15 9:48:01,C,31,736
27/02/15 9:49:01,C,31,673
27/02/15 9:50:01,C,31,424
27/02/15 9:51:01,C,31,486
27/02/15 9:52:01,C,31,673
27/02/15 9:53:01,C,31,673
27/02/15 9:54:01,C,31,673
27/02/15 9:55:01,C,31,673
27/02/15 9:56:01,C,31,611
27/02/15 9:57:01,C,31,673
27/02/15 9:58:01,C,31,673
27/02/15 9:59:01,C,31,611
27/02/15 10:00:01,C,31,673
27/02/15 10:01:01,C,31,736
27/02/15 10:02:01,C,31,861
27/02/15 10:03:01,C,31,798
27/02/15 10:04:01,C,31,736
27/02/15 10:05:01,C,31,736
27/02/15 10:06:01,C,31,736
27/02/15 10:07:01,C,31,673
27/02/15 10:08:01,C,31,736
27/02/15 10:09:01,C,31,611
27/02/15 10:10:01,C,31,548
27/02/15 10:11:01,C,31,486
27/02/15 10:12:01,C,31,361
27/02/15 10:13:01,C,31,486
27/02/15 10:14:01,C,31,611
27/02/15 10:15:01,C,31,673
27/02/15 10:16:01,C,31,548
27/02/15 10:17:01,C,31,424
27/02/15 10:18:01,C,31,486
27/02/15 10:19:01,C,31,486
27/02/15 10:20:01,C,31,486
27/02/15 10:21:01,C,31,486
27/02/15 10:22:01,C,31,486
27/02/15 10:23:01,C,31,361
27/02/15 10:24:01,C,31,299
27/02/15 10:25:01,C,31,361
27/02/15 10:26:01,C,31,361
27/02/15 10:27:01,C,31,361
27/02/15 10:28:01,C,31,361
27/02/15 10:29:01,C,31,424
27/02/15 10:30:01,C,31,299
27/02/15 10:31:01,C,31,299
27/02/15 10:32:01,C,31,486
